Name,Address,Description,Category,City,GoogleMapsURL
Yakiniku Gorichan Shinsaibashi / 焼肉ごりちゃん (IG Reel),,"City: Osaka | Area: NAMBA / SHINSAIBASHI | Type: Restaurant / BBQ | Price: Lunch ~¥3,000+ | Status: saved | 50mm thick-cut beef tongue (タン元) - rare tongue root part",Restaurant / BBQ,Osaka,https://maps.google.com/?q=Yakiniku+Gorichan+Shinsaibashi+%2F+%E7%84%BC%E8%82%89%E3%81%94%E3%82%8A%E3%81%A1%E3%82%83%E3%82%93+%28IG+Reel%29
Nikai no Oasis KITTE Osaka / ニカイノオアシス KITTE大阪,大阪府大阪市北区梅田3-2-2 KITTE大阪 B1F,"City: Osaka | Area: UMEDA | Type: Izakaya / Tempura / Seafood | Price: Shrimp cutlet ¥780 (~฿187) | Status: saved | Puri-puri ebi katsu (shrimp cutlet), grilled prawns",Izakaya / Tempura / Seafood,Osaka,https://maps.google.com/?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%A2%85%E7%94%B03-2-2+KITTE%E5%A4%A7%E9%98%AA+B1F
Coonies Fresh Market / 南河生鮮市場クーニーズ,大阪府羽曳野市西浦3丁目6-920-1 (from screenshot text),City: Osaka | Area: OUTSIDE CENTRAL OSAKA | Type: Seafood Market / Grocery | Price: Low to mid; market pricing (reel highlights bargains/discounts) | Status: saved | Seasonal seafood + nabe ingredients,Seafood Market / Grocery,Osaka,https://maps.google.com/?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E7%BE%BD%E6%9B%B3%E9%87%8E%E5%B8%82%E8%A5%BF%E6%B5%A63%E4%B8%81%E7%9B%AE6-920-1+%28from+screenshot+text%29
Osaka Kizu Wholesale Market / 大阪木津卸売市場,大阪府大阪市浪速区敷津東2-2-8 (Osaka Kizu Wholesale Market),City: Osaka | Area: OUTSIDE CENTRAL OSAKA | Type: Seafood Market / Market Stop | Price: Market pricing; fresh seafood and produce at lower-than-tourist-market prices | Status: saved | Raw oysters / uni / tuna cuts,Seafood Market / Market Stop,Osaka,https://maps.google.com/?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E6%B5%AA%E9%80%9F%E5%8C%BA%E6%95%B7%E6%B4%A5%E6%9D%B12-2-8+%28Osaka+Kizu+Wholesale+Market%29
Sushi Kou / すし幸 (Tsuruhashi),大阪府大阪市天王寺区舟橋町20-13,City: Osaka | Area: TSURUHASHI | Type: Restaurant / Sushi | Price: Budget to mid (reel highlight: eel/anago ~¥250 per piece) | Status: saved,Restaurant / Sushi,Osaka,https://maps.google.com/?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%A4%A9%E7%8E%8B%E5%AF%BA%E5%8C%BA%E8%88%9F%E6%A9%8B%E7%94%BA20-13
Katsugyo Center Daisho / 活魚センター大昌,"2 Chome-1-19 Tajima, Ikuno Ward, Osaka, 544-0011","City: Osaka | Area: OUTSIDE CENTRAL OSAKA | Type: Seafood Market / Live Fish Center | Price: Market pricing (reel showed lobster sign オマール海老 ¥4,500) | Status: saved",Seafood Market / Live Fish Center,Osaka,https://maps.google.com/?q=2+Chome-1-19+Tajima%2C+Ikuno+Ward%2C+Osaka%2C+544-0011
Susabi Yu Umeda Higashidori / すし酒場 すさび湯 梅田東通り店,大阪府大阪市北区小松原町5-5,City: Osaka | Area: UMEDA | Type: Izakaya / Budget Drinks | Price: Budget izakaya pricing (promo drinks often around ¥170) | Status: saved,Izakaya / Budget Drinks,Osaka,https://maps.google.com/?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%B0%8F%E6%9D%BE%E5%8E%9F%E7%94%BA5-5
Ichibante / 一番手 (Umeda),"Nishi-Umeda area, Osaka (exact branch/address TBD)","City: Osaka | Area: UMEDA | Type: Izakaya / Budget | Price: Promo items shown: ¥99 food, ¥199 drink/beer | Status: saved",Izakaya / Budget,Osaka,https://maps.google.com/?q=Nishi-Umeda+area%2C+Osaka+%28exact+branch%2Faddress+TBD%29
Uoshin Sakaba Umeda Teppan / 魚心酒場 梅田てっぺん部 (FB Reel),"4-16 Doyamacho, Kita-ku, Osaka","City: Osaka | Area: UMEDA | Type: Izakaya / Seafood / Oyster | Price: Oyster AYCE 90 min ¥4,980 incl. tax; Chutoro AYCE add-on +¥1,000 (promo conditions may apply) | Status: saved | Grilled oysters + chutoro",Izakaya / Seafood / Oyster,Osaka,https://maps.google.com/?q=Uoshin+Sakaba+Umeda+Teppan+4-16+Doyamacho+Osaka
"Sennichimae Day-Drinking Izakaya (67-year old, FB Reel)","1-4-14 Sennichimae, Chuo-ku, Osaka",City: Osaka | Area: NAMBA / SHINSAIBASHI | Type: Izakaya / Day-drinking | Price: Budget to mid izakaya pricing (exact menu prices not shown in reel) | Status: saved | Oden/stew + kushi skewers + draft beer/sour,Izakaya / Day-drinking,Osaka,https://maps.google.com/?q=1-4-14+Sennichimae+Chuo-ku+Osaka+06-6211-0339
"Amakusa no Megumi / 天草の恵み (Umeda, FB Reel)","2-14-21 Sonezaki, Kita-ku, Osaka (1F-3F)","City: Osaka | Area: UMEDA | Type: Izakaya / Seafood Shabu-shabu | Price: ~¥4,000–¥5,000 per person | Status: saved | Seafood shabu-shabu + eel & shrimp tempura",Izakaya / Seafood Shabu-shabu,Osaka,https://maps.google.com/?q=Amakusa+no+Megumi+2-14-21+Sonezaki+Kita-ku+Osaka
Original Butchikiri Sushi Uoshinami Namba / 元祖ぶっち切り寿司 魚心南 難波店 (FB Reel),"1-7-9 Sennichimae 1F, Chuo-ku, Osaka 542-0074",City: Osaka | Area: NAMBA / SHINSAIBASHI | Type: Restaurant / Sushi | Price: From ~¥90 per piece (reel claim; verify in-store menu) | Status: saved | Assorted tuna/salmon/white fish pieces; value platter style,Restaurant / Sushi,Osaka,https://maps.google.com/?q=1-7-9+Sennichimae+Chuo-ku+Osaka+Uoshinami+Namba
"Kaki Taiko Tennoji / カキ小屋 (Abeno Q’s Mall limited, FB Reel)","Abeno Q’s Mall area, Tennoji, Osaka (limited-time setup)",City: Osaka | Area: TENNOJI / ABENO | Type: Oyster BBQ / Seafood Event-style | Price: TBD (reel highlights all-you-can-eat oyster concept) | Status: saved | Grilled oysters + seafood platter items,Oyster BBQ / Seafood Event-style,Osaka,https://maps.google.com/?q=Abeno+Q%27s+Mall+Tennoji+Osaka+Kaki+Taiko
Kaisen Monogatari Namba Shinsaibashi / 海鮮物語 難波心斎橋店 (FB Reel),"Nicoo Building 2F, 1-6-12 Dotonbori, Chuo-ku, Osaka 542-0071","City: Osaka | Area: NAMBA / SHINSAIBASHI | Type: Seafood Izakaya / Shrimp Shabu-shabu | Price: Shrimp shabu course ¥4,500; premium course with extras ~¥7,980 (reel promo info) | Status: saved | Red shrimp shabu-shabu",Seafood Izakaya / Shrimp Shabu-shabu,Osaka,https://maps.google.com/?q=海鮮物語+難波心斎橋店+1-6-12+Dotonbori+Chuo-ku+Osaka
"Ikiki Kaiten Sushi (45 yen per piece, FB Reel)",Address pending confirmation (reel says location in comments),"City: Osaka | Area: OUTSIDE CENTRAL OSAKA | Type: Conveyor Sushi / Budget Sushi | Price: From ~¥45 per piece (reel claim), ~¥1,500 per person for light meal | Status: pending-address | Live fish and tuna selections",Conveyor Sushi / Budget Sushi,Osaka,https://maps.google.com/?q=Ikiki+Kaiten+Sushi+Osaka
